Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Журба,Веніямин,Григорійович,male,1939-02-09,Аудитор,селище Слов'янськ,"вулиця Київське, буд. 242 кв. 654, Світлодарськ, 44263",+380 23 181-31-53,zlatoslavaabrahamovskyi@example.org
Атаманюк,Соломія,Тарасівна,female,1966-06-10,PR-менеджер,хутір Гребінка,"набережна Венгера, буд. 65, Армянськ, 40392",311 08 24,oartymovych@example.org
Артимович,Вікторія,Давидівна,female,1968-02-26,Кадровий менеджер,село Самбір,"парк 21-й км Старокиївської дороги, буд. 642, Бахчисарай, 44769",068 024-33-41,ihor05@example.com
Базилевський,Мирон,Леонідович,male,1954-12-30,Інженер з якості,хутір Бориспіль,"провулок ім. К.Г. Паустовського, буд. 72 кв. 38, Берислав, 62061",+380 01 357-94-79,mariiagalagan@example.net
Дерегус,Євген,Борисович,male,1974-12-31,Фінансовий аналітик,село Бровари,"узвіз Солонцюватий, буд. 533, Вовчанськ, 52536",+380 73 051 40 44,kivanychuk@example.com
Яценко,Охрім,Давидович,male,1966-09-12,Системний адміністратор,місто Ромни,"провулок Заводська 1-ша, буд. 7, Снятин, 63514",087 247-89-13,qkovalenko@example.com
Царенко,Семен,Ярославович,male,1980-10-02,Архітектор,селище Волочиськ,"парк Бузковий 2-й, буд. 64, Болград, 42184",+380 22 190-77-82,stanislav98@example.net
Орлик,Єлисавета,Тарасівна,female,1978-08-13,Тестувальник,село Сновськ,"парк Нескучна, буд. 8, Львів, 55226",+380 31 105-74-91,myronfomenko@example.com
Парасюк,Христина,Михайлівна,female,1977-01-17,Інженер з якості,село Татарбунари,"узвіз Шебелінський, буд. 178 кв. 11, Горлівка, 26611",+380 (11) 162-01-57,nadiia22@example.net
Дергач,Єва,Ігорівна,female,1954-08-09,Менеджер з продажу,місто Татарбунари,"сквер Соціальна, буд. 498, Часів Яр, 19928",026 734 61 22,darkhymovych@example.net
Ємельяненко,Анастасія,Кирилівна,female,1948-07-14,Дизайнер,селище Сокиряни,"проспект Гаріна, буд. 7, Павлоград, 45524",+380 23 249 93 33,onufriienkosofiia@example.com
Цюпа,Ірина,Давидівна,female,1975-12-01,Дизайнер,село Рожище,"площа Паркова, буд. 18, Суми, 77669",221-55-67,udovychenkoazar@example.net
Зарудний,Герман,Станіславович,male,1945-07-19,Офіс-менеджер,селище Бібрка,"площа Обільна, буд. 189, Алмазна, 40274",052 448 90 72,demianiuktaras@example.org
Міщенко,Леопольд,Давидович,male,1993-05-11,Програміст,село Бориспіль,"узвіз Дукова, буд. 157 кв. 722, Буськ, 06152",981-25-27,dankevychles@example.net
Асаула,Емілія,Євгенівна,female,1983-05-14,PR-менеджер,селище Сулимівка (Слов'янськ),"парк Високий, буд. 355 кв. 918, Покров, 09413",001 286 55 16,symonakymenko@example.org
Девдюк,Надія,Федорівна,female,1949-11-11,Аудитор,село Підгородне,"узвіз Героїв Крут, буд. 10 кв. 33, Балта, 01560",+380 53 171-17-04,tetianasaienko@example.org
Овсієнко,Вікторія,Костянтинівна,female,2002-09-19,Кадровий менеджер,хутір Чигирин,"набережна Достоєвського, буд. 520, Моспине, 65309",+380 27 317 26 24,prykhodkonataliia@example.net
Жарко,Аврелій,Назарович,male,1997-10-08,Аудитор,хутір Червоносів,"парк Прорізний, буд. 2 кв. 890, Нововолинськ, 86696",025 975-42-60,danchenkosviatoslav@example.net
Власюк,Амалія,Леонідівна,female,1979-09-24,Фінансовий аналітик,селище Березань ,"проспект Лізи Чайкіної, буд. 4 кв. 47, Снятин, 50822",+380 94 636 18 55,anton18@example.com
Артимишин,Ярина,Романівна,female,1949-09-25,Аудитор,село Новий Буг,"провулок Лютеранський, буд. 7 кв. 1, Ірпінь, 51363",+380 67 687-05-49,velychkoanton@example.net
Корж,Феофан,Олександрович,male,1948-03-07,Інженер з якості,місто Мирноград,"провулок Аптекарський, буд. 66, Баштанка, 21524",+380 48 556 54 31,mredko@example.net
Ніколюк,Людмила,Федорівна,female,1946-05-02,Менеджер з закупівель,селище Кальміуське,"вулиця Машинобудівний, буд. 3 кв. 346, Богуслав, 69376",093 297-01-77,iprykhodko@example.com
Фартушняк,Камілла,Марківна,female,1998-12-07,Тестувальник,селище Глобине,"шосе Окружна, буд. 7, Подільськ, 24643",+380 16 584 32 83,bohodar57@example.com
Височан,Одарка,Борисівна,female,1939-11-02,Менеджер з продукту,хутір Горохів,"площа Армійська, буд. 220, Горлівка, 35639",636 50 83,liliia41@example.com
Бебешко,Варфоломій,Остапович,male,1938-10-22,Системний адміністратор,село Дубровиця,"узвіз Люстдорфська дорога, буд. 2, Роздільна, 21564",+380 03 190-82-54,erika38@example.org
Ґереґа,Мирослав,Станіславович,male,1988-09-20,HR-менеджер,хутір Сторожинець,"шосе Овідіопольська, буд. 033 кв. 82, Свалява, 70335",+380 (49) 241-89-37,dzyndrakhrystyna@example.org
Овсієнко,Іван,Григорійович,male,1995-08-26,Копірайтер,село Косів,"проспект Пересипська 7-ма, буд. 4 кв. 4, Луганськ, 59020",075 404-21-26,oreva@example.net
Колодуб,Емілія,Давидівна,female,1969-05-26,PR-менеджер,хутір Іловайськ,"проспект Шкодова гора, буд. 94, Лисичанськ, 62036",083 168 11 27,onysymandriiovych@example.com
Саченко,Лілія,Максимівна,female,1990-06-02,Менеджер з продукту,селище Судак ,"шосе Немировича-Данченка, буд. 800, Токмак, 74306",683 87 39,masokhaboleslav@example.com
Влох,Трохим,Григорійович,male,1967-01-26,Фінансовий аналітик,хутір Хуст,"узвіз Сурикова 1-й, буд. 8 кв. 7, Білогірськ, 23424",+380 74 950-10-44,avhustyn57@example.com
Щербак,Анжела,Юріївна,female,1952-07-14,Офіс-менеджер,місто Бучач,"узвіз Кутова, буд. 93, Золоте, 52104",002 270 99 66,zhaivoronsemen@example.net
Батюк,Демʼян,Остапович,male,1942-01-05,PR-менеджер,село Могилів-Подільський,"сквер Середня, буд. 509 кв. 36, Сквира, 87542",+380 88 106-70-01,rbabiichuk@example.org
Луценко,Єлисавета,Тарасівна,female,1953-05-31,Аудитор,селище Белз,"сквер Шостої 2-й, буд. 33, Яворів, 47691",015 795-09-85,kostiantyn25@example.com
Єрьоменко,Мартин,Станіславович,male,1999-11-17,Асистент керівника,хутір Долинська,"парк Преображенська, буд. 354, Підгайці, 47734",381 47 18,idubas@example.net
Чуприна,Климент,Ігорович,male,1959-05-25,HR-менеджер,місто Калинівка ,"шосе Квітковий, буд. 851 кв. 6, Очаків, 02437",607-01-82,avrelii90@example.org
Єщенко,Олена,Олексіївна,female,1986-03-06,Кадровий менеджер,хутір Снігурівка,"шосе Кустанайська, буд. 74 кв. 01, Горішні Плавні, 52552",+380 23 259-87-74,syrotenkomarko@example.com
Вишиваний,Аврелій,Ігорович,male,1987-09-24,Копірайтер,селище Сарни,"сквер Деволанівська, буд. 5 кв. 168, Бахчисарай, 15016",833-64-48,vdovychenkodemian@example.org
